episode,runtime_sec,steps,reward,task1_success,task2_success,task3_success,task4_success,task5_success,task6_success,task1_steps,task2_steps,task3_steps,task4_steps,task5_steps,task6_steps,llm_time_task1,llm_time_task2,llm_time_task3,llm_time_task4,llm_time_task5,llm_time_task6,cur_skill_calls
154,49.499055,460,107.881,1,1,1,1,1,1,104,84,116,24,92,40,0.920521,0.918316,0.932298,0.934996,0.915988,0.927478,"0,1,2,3,4,5"
156,46.10227,428,107.988,1,1,1,1,1,1,88,72,116,28,84,40,0.780503,0.925868,0.927632,0.929345,0.930158,0.936556,"0,1,2,3,4,5"
157,47.1867,436,97.946,1,1,1,1,1,1,96,68,116,32,84,40,0.93053,0.934812,0.915311,0.92408,0.914211,0.914198,"0,1,2,3,4,5"
158,44.889214,412,97.999,1,1,1,1,1,1,88,72,104,28,84,36,0.925284,0.925686,0.925741,0.918901,0.92272,0.917694,"0,1,2,3,4,5"
159,48.875437,452,107.951,1,1,1,1,1,1,92,84,124,28,84,40,0.935104,0.927794,0.922355,0.917055,0.922479,0.91356,"0,1,2,3,4,5"
160,47.498051,440,98.0,1,1,1,1,1,1,88,72,116,28,96,40,0.930474,0.923394,0.924363,0.916632,0.9219,0.924058,"0,1,2,3,4,5"
161,46.290439,428,107.949,1,1,1,1,1,1,92,72,116,28,84,36,0.936587,0.917003,0.927988,0.923118,0.925739,0.9232,"0,1,2,3,4,5"
162,47.681272,440,107.903,1,1,1,1,1,1,100,72,112,32,84,40,0.925024,0.926822,0.919647,0.919661,0.925331,0.9224,"0,1,2,3,4,5"
164,50.672927,472,108.0,1,1,1,1,1,1,92,72,152,44,72,40,0.914422,0.92771,0.928837,0.919007,0.922382,0.925338,"0,1,2,3,4,5"
166,51.187469,476,97.978,1,1,1,1,1,1,96,96,128,32,84,40,0.922617,0.926384,0.917678,0.928149,0.921437,0.918702,"0,1,2,3,4,5"
167,48.817986,452,107.961,1,1,1,1,1,1,88,92,120,28,84,40,0.920662,0.925413,0.924551,0.932605,0.930583,0.928623,"0,1,2,3,4,5"
168,46.869412,432,107.998,1,1,1,1,1,1,88,68,124,28,88,36,0.922513,0.922399,0.920486,0.922674,0.920549,0.918332,"0,1,2,3,4,5"
169,47.802846,440,97.999,1,1,1,1,1,1,92,88,108,28,88,36,0.922605,0.926446,0.923293,0.922366,0.922947,0.92509,"0,1,2,3,4,5"
170,48.171308,444,107.991,1,1,1,1,1,1,88,92,128,28,72,36,0.921706,0.925703,0.930237,0.916763,0.916762,0.915806,"0,1,2,3,4,5"
171,49.408199,456,97.946,1,1,1,1,1,1,92,100,116,24,88,36,0.924329,0.927473,0.914665,0.916422,0.93179,0.926879,"0,1,2,3,4,5"
